artists_id,artists_name,album_id,album_name,release_date,song_id,title,popularity,duration_ms,song_url
[{'id': '3i7tuzRfutJGAUowspOM1f'}],[{'name': 'Kashitaro Ito'}],5VfxZpps2s3yibA445smqp,一意専心,2014-01-22,1VuXY20h1h9ibg89P7Ezgz,しわ,30,247017,{'spotify': 'https://open.spotify.com/track/1VuXY20h1h9ibg89P7Ezgz'}
[{'id': '0W2x7650Lt2CEIIcLHXmsE'}],[{'name': 'Nana Mizuki'}],4h4j5FEupRxpbGss2AabF2,THE MUSEUM Ⅲ,2018-01-10,22b3p38QWCoHEZI3PQ5RnK,Exterminate,39,245093,{'spotify': 'https://open.spotify.com/track/22b3p38QWCoHEZI3PQ5RnK'}
[{'id': '4muJrGMndyYWqZtfk8OWy4'}],[{'name': 'BoA'}],0F9dZ8Cdm6Rr5tXkAZvW45,MADE IN TWENTY(20),2007-01-17,4M3wUm1wL2zAiz9ehLXiZ5,Winter Love,34,341766,{'spotify': 'https://open.spotify.com/track/4M3wUm1wL2zAiz9ehLXiZ5'}
[{'id': '0aRqEPPTtQd3pGuB4tJxVw'}],[{'name': 'Centimillimental'}],3sxIQxV4xlToEveovmK1yH,キヅアト,2019-07-12,6bBTOkYn0vJJ33kH0IbZ0S,キヅアト,65,243745,{'spotify': 'https://open.spotify.com/track/6bBTOkYn0vJJ33kH0IbZ0S'}
[{'id': '4muJrGMndyYWqZtfk8OWy4'}],[{'name': 'BoA'}],082g95CJ0YhcNAjxf2MMgT,メリクリ,2004-12-01,3fxaN9pj6g4crVCzMTqRd0,メリクリ,50,332433,{'spotify': 'https://open.spotify.com/track/3fxaN9pj6g4crVCzMTqRd0'}
[{'id': '0RLTJBHe0jhxEVsYMVCMz0'}],[{'name': 'Amamiya Sora'}],2HhiO6WQouDaf9M8EoN74H,The Only BLUE,2018-07-11,5hcUyP6GhGFL1PMjUTJNpu,誓い,33,295106,{'spotify': 'https://open.spotify.com/track/5hcUyP6GhGFL1PMjUTJNpu'}
[{'id': '6LQYtKNp3ZsJ9xOzVVUj5j'}],[{'name': 'ギヴン'}],7wR9KWzI8aoR89ryUPDhmr,gift,2020-08-26,0Qjpe6YNOHN1snJWV60J1N,ステージから君に捧ぐ,56,258079,{'spotify': 'https://open.spotify.com/track/0Qjpe6YNOHN1snJWV60J1N'}
[{'id': '7ucOhItVkxNqunNLo8AkzN'}],[{'name': 'fripSide'}],0gtD6TUO5Q2ix4XRPABtTn,final phase,2020-02-26,1KD5irnBs8gPsnBKVrTG9P,final phase,51,241786,{'spotify': 'https://open.spotify.com/track/1KD5irnBs8gPsnBKVrTG9P'}
[{'id': '3R3WEsfL1WC1zLiz3XG9K5'}],[{'name': 'miwa'}],5VZ3GOd3KdWjePsAhJk8Ni,Delight,2013-05-22,7mlHSPccMPEiGYxWUqEURC,ヒカリヘ,42,292306,{'spotify': 'https://open.spotify.com/track/7mlHSPccMPEiGYxWUqEURC'}
[{'id': '1snhtMLeb2DYoMOcVbb8iB'}],[{'name': 'Kenshi Yonezu'}],5ztm773WXmGJDkzGWH0YXT,Bootleg,2017-11-01,7xpD6IKiL8ldCg2WRzsb4K,愛麗絲(正式表記はAliceの中国語簡体字表記となります。),38,189760,{'spotify': 'https://open.spotify.com/track/7xpD6IKiL8ldCg2WRzsb4K'}
[{'id': '3i7tuzRfutJGAUowspOM1f'}],[{'name': 'Kashitaro Ito'}],5VfxZpps2s3yibA445smqp,一意専心,2014-01-22,2ls4wwWe5zZse5CeyKPuic,HEAVEN,28,275812,{'spotify': 'https://open.spotify.com/track/2ls4wwWe5zZse5CeyKPuic'}
[{'id': '1xwuTSJVlnBEOecAEHGRfY'}],[{'name': 'ITOWOKASHI'}],178MyVBgrjKDFvwYclbee6,中央突破,2017-06-21,4kvKY43wBzQahxSavPYUIv,宿り星,37,280506,{'spotify': 'https://open.spotify.com/track/4kvKY43wBzQahxSavPYUIv'}
[{'id': '6LQYtKNp3ZsJ9xOzVVUj5j'}],[{'name': 'ギヴン'}],7wR9KWzI8aoR89ryUPDhmr,gift,2020-08-26,6aVscseUCbhygpboveCC9Q,まるつけ,58,234466,{'spotify': 'https://open.spotify.com/track/6aVscseUCbhygpboveCC9Q'}
[{'id': '5FQ4vbNwpE1wFGoOPecJB9'}],[{'name': '東山奈央'}],1kMRbrBCEe2zMq9bvAM2Vq,群青インフィニティ,2019-04-03,27d1O9J0WiwyxQhFRdFg2F,灯火のまにまに,39,259066,{'spotify': 'https://open.spotify.com/track/27d1O9J0WiwyxQhFRdFg2F'}
